Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:05	PI_16	0	2	0	642933	1000	
2016-Jan-05 11:19:07	PI_16	1	2	0	642933	0	
2016-Jan-05 11:19:09	PI_16	2	2	0	642933	0	
2016-Jan-05 11:19:11	PI_16	3	2	0	642933	0	
2016-Jan-05 11:19:13	PI_16	4	2	0	642933	0	
2016-Jan-05 11:19:15	PI_16	5	2	0	642933	0	
2016-Jan-05 11:19:17	PI_16	6	2	0	642933	0	
2016-Jan-05 11:19:19	PI_16	7	2	0	642933	0	
2016-Jan-05 11:19:21	PI_16	8	2	0	642933	0	
2016-Jan-05 11:19:23	PI_16	9	2	0	642933	0	
2016-Jan-05 11:19:25	PI_16	10	2	0	642933	0	
2016-Jan-05 11:19:27	PI_16	11	2	0	642933	0	
2016-Jan-05 11:19:29	PI_16	12	2	0	642933	0	
2016-Jan-05 11:19:31	PI_16	13	2	0	642933	0	
2016-Jan-05 11:19:33	PI_16	14	2	0	642933	0	
2016-Jan-05 11:19:35	PI_16	15	2	0	642933	0	
2016-Jan-05 11:19:37	PI_16	16	2	0	642933	0	
2016-Jan-05 11:19:39	PI_16	17	2	0	642933	0	
2016-Jan-05 11:19:41	PI_16	18	2	0	642933	0	
2016-Jan-05 11:19:43	PI_16	19	2	0	642933	0	
2016-Jan-05 11:19:45	PI_16	20	2	1	997955	0	0
2016-Jan-05 11:19:47	PI_16	21	2	0	642933	0	
2016-Jan-05 11:19:49	PI_16	22	2	1	997955	0	0
2016-Jan-05 11:19:51	PI_16	23	2	0	642933	0	
2016-Jan-05 11:19:53	PI_16	24	2	1	997955	0	0
2016-Jan-05 11:19:55	PI_16	25	2	0	642933	0	
2016-Jan-05 11:19:57	PI_16	26	2	2	1405754	0	0,1
2016-Jan-05 11:19:59	PI_16	27	2	0	642933	0	
2016-Jan-05 11:20:01	PI_16	28	2	0	642933	0	
2016-Jan-05 11:20:03	PI_16	29	2	2	1405754	0	0,1
2016-Jan-05 11:20:05	PI_16	30	2	0	642933	0	
2016-Jan-05 11:20:07	PI_16	31	2	1	997955	0	0
2016-Jan-05 11:20:09	PI_16	32	2	2	1405754	0	0,1
2016-Jan-05 11:20:11	PI_16	33	2	0	642933	0	
2016-Jan-05 11:20:13	PI_16	34	2	2	1405754	0	0,1
2016-Jan-05 11:20:15	PI_16	35	2	0	642933	0	
2016-Jan-05 11:20:17	PI_16	36	2	2	1405754	0	0,1
2016-Jan-05 11:20:19	PI_16	37	2	0	642933	0	
2016-Jan-05 11:20:21	PI_16	38	2	0	642933	0	
2016-Jan-05 11:20:23	PI_16	39	2	0	642933	0	
2016-Jan-05 11:20:25	PI_16	40	2	0	642933	0	
2016-Jan-05 11:20:27	PI_16	41	2	2	1405754	0	0,1
2016-Jan-05 11:20:29	PI_16	42	2	0	642933	0	
2016-Jan-05 11:20:31	PI_16	43	2	0	642933	0	
2016-Jan-05 11:20:33	PI_16	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:35	PI_16	45	2	2	1405754	0	0,1
2016-Jan-05 11:20:37	PI_16	46	2	0	642933	0	
2016-Jan-05 11:20:39	PI_16	47	2	0	642933	0	
2016-Jan-05 11:20:41	PI_16	48	2	2	1405754	0	0,1
2016-Jan-05 11:20:43	PI_16	49	2	0	642933	0	
2016-Jan-05 11:20:45	PI_16	50	2	2	1405754	0	0,1
2016-Jan-05 11:20:47	PI_16	51	2	0	642933	0	
2016-Jan-05 11:20:49	PI_16	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:51	PI_16	53	2	0	642933	0	
2016-Jan-05 11:20:53	PI_16	54	2	2	1405754	0	0,1
2016-Jan-05 11:20:55	PI_16	55	2	0	642933	0	
2016-Jan-05 11:20:57	PI_16	56	2	0	642933	0	
2016-Jan-05 11:20:59	PI_16	57	2	2	1405754	0	0,1
2016-Jan-05 11:21:01	PI_16	58	2	0	642933	0	
2016-Jan-05 11:21:03	PI_16	59	2	0	642933	0	
2016-Jan-05 11:21:05	PI_16	60	2	0	642933	0	
2016-Jan-05 11:21:07	PI_16	61	2	2	1405754	0	0,1
2016-Jan-05 11:21:09	PI_16	62	2	0	642933	0	
2016-Jan-05 11:21:11	PI_16	63	2	0	642933	0	
2016-Jan-05 11:21:13	PI_16	64	2	0	642933	0	
2016-Jan-05 11:21:15	PI_16	65	2	2	1405754	0	0,1
2016-Jan-05 11:21:17	PI_16	66	2	0	642933	0	
2016-Jan-05 11:21:19	PI_16	67	2	0	642933	0	
2016-Jan-05 11:21:21	PI_16	68	2	2	1405754	0	0,1
2016-Jan-05 11:21:23	PI_16	69	2	0	642933	0	
2016-Jan-05 11:21:25	PI_16	70	2	0	642933	0	
2016-Jan-05 11:21:27	PI_16	71	2	2	1405754	0	0,1
2016-Jan-05 11:21:29	PI_16	72	2	0	642933	0	
2016-Jan-05 11:21:31	PI_16	73	2	0	642933	0	
