Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:03	PI_6	0	2	0	642933	1000	
2016-Jan-05 11:19:05	PI_6	1	2	0	642933	0	
2016-Jan-05 11:19:07	PI_6	2	2	0	642933	0	
2016-Jan-05 11:19:09	PI_6	3	2	0	642933	0	
2016-Jan-05 11:19:11	PI_6	4	2	0	642933	0	
2016-Jan-05 11:19:13	PI_6	5	2	0	642933	0	
2016-Jan-05 11:19:15	PI_6	6	2	0	642933	0	
2016-Jan-05 11:19:17	PI_6	7	2	0	642933	0	
2016-Jan-05 11:19:19	PI_6	8	2	0	642933	0	
2016-Jan-05 11:19:21	PI_6	9	2	0	642933	0	
2016-Jan-05 11:19:23	PI_6	10	2	0	642933	0	
2016-Jan-05 11:19:25	PI_6	11	2	0	642933	0	
2016-Jan-05 11:19:27	PI_6	12	2	0	642933	0	
2016-Jan-05 11:19:29	PI_6	13	2	0	642933	0	
2016-Jan-05 11:19:31	PI_6	14	2	0	642933	0	
2016-Jan-05 11:19:33	PI_6	15	2	2	1405754	0	0,1
2016-Jan-05 11:19:35	PI_6	16	2	0	642933	0	
2016-Jan-05 11:19:37	PI_6	17	2	0	642933	0	
2016-Jan-05 11:19:39	PI_6	18	2	2	1405754	0	0,1
2016-Jan-05 11:19:41	PI_6	19	2	0	642933	0	
2016-Jan-05 11:19:43	PI_6	20	2	2	1405754	0	0,1
2016-Jan-05 11:19:45	PI_6	21	2	0	642933	0	
2016-Jan-05 11:19:47	PI_6	22	2	2	1405754	0	0,1
2016-Jan-05 11:19:49	PI_6	23	2	2	1405754	0	0,1
2016-Jan-05 11:19:51	PI_6	24	2	0	642933	0	
2016-Jan-05 11:19:53	PI_6	25	2	0	642933	0	
2016-Jan-05 11:19:55	PI_6	26	2	2	1405754	0	0,1
2016-Jan-05 11:19:57	PI_6	27	2	0	642933	0	
2016-Jan-05 11:19:59	PI_6	28	2	0	642933	0	
2016-Jan-05 11:20:01	PI_6	29	2	2	1405754	0	0,1
2016-Jan-05 11:20:03	PI_6	30	2	2	1405754	0	0,1
2016-Jan-05 11:20:05	PI_6	31	2	2	1405754	0	0,1
2016-Jan-05 11:20:07	PI_6	32	2	0	642933	0	
2016-Jan-05 11:20:09	PI_6	33	2	2	1405754	0	0,1
2016-Jan-05 11:20:11	PI_6	34	2	0	642933	0	
2016-Jan-05 11:20:13	PI_6	35	2	2	1405754	0	0,1
2016-Jan-05 11:20:15	PI_6	36	2	0	642933	0	
2016-Jan-05 11:20:17	PI_6	37	2	2	1405754	0	0,1
2016-Jan-05 11:20:19	PI_6	38	2	0	642933	0	
2016-Jan-05 11:20:21	PI_6	39	2	0	642933	0	
2016-Jan-05 11:20:23	PI_6	40	2	0	642933	0	
2016-Jan-05 11:20:25	PI_6	41	2	0	642933	0	
2016-Jan-05 11:20:27	PI_6	42	2	2	1405754	0	0,1
2016-Jan-05 11:20:29	PI_6	43	2	2	1405754	0	0,1
2016-Jan-05 11:20:31	PI_6	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:33	PI_6	45	2	2	1405754	0	0,1
2016-Jan-05 11:20:35	PI_6	46	2	0	642933	0	
2016-Jan-05 11:20:37	PI_6	47	2	2	1405754	0	0,1
2016-Jan-05 11:20:39	PI_6	48	2	2	1405754	0	0,1
2016-Jan-05 11:20:41	PI_6	49	2	0	642933	0	
2016-Jan-05 11:20:43	PI_6	50	2	2	1405754	0	0,1
2016-Jan-05 11:20:45	PI_6	51	2	0	642933	0	
2016-Jan-05 11:20:47	PI_6	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:49	PI_6	53	2	0	642933	0	
2016-Jan-05 11:20:51	PI_6	54	2	2	1405754	0	0,1
2016-Jan-05 11:20:53	PI_6	55	2	0	642933	0	
2016-Jan-05 11:20:55	PI_6	56	2	2	1405754	0	0,1
2016-Jan-05 11:20:57	PI_6	57	2	0	642933	0	
2016-Jan-05 11:20:59	PI_6	58	2	2	1405754	0	0,1
2016-Jan-05 11:21:01	PI_6	59	2	0	642933	0	
2016-Jan-05 11:21:03	PI_6	60	2	0	642933	0	
