Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:06	PI_7	0	2	0	642933	1000	
2016-Jan-05 11:19:08	PI_7	1	2	0	642933	0	
2016-Jan-05 11:19:10	PI_7	2	2	0	642933	0	
2016-Jan-05 11:19:12	PI_7	3	2	0	642933	0	
2016-Jan-05 11:19:14	PI_7	4	2	0	642933	0	
2016-Jan-05 11:19:16	PI_7	5	2	0	642933	0	
2016-Jan-05 11:19:18	PI_7	6	2	0	642933	0	
2016-Jan-05 11:19:20	PI_7	7	2	0	642933	0	
2016-Jan-05 11:19:22	PI_7	8	2	0	642933	0	
2016-Jan-05 11:19:24	PI_7	9	2	0	642933	0	
2016-Jan-05 11:19:26	PI_7	10	2	0	642933	0	
2016-Jan-05 11:19:28	PI_7	11	2	0	642933	0	
2016-Jan-05 11:19:30	PI_7	12	2	0	642933	0	
2016-Jan-05 11:19:32	PI_7	13	2	0	642933	0	
2016-Jan-05 11:19:34	PI_7	14	2	0	642933	0	
2016-Jan-05 11:19:36	PI_7	15	2	0	642933	0	
2016-Jan-05 11:19:38	PI_7	16	2	0	642933	0	
2016-Jan-05 11:19:40	PI_7	17	2	0	642933	0	
2016-Jan-05 11:19:42	PI_7	18	2	2	1405754	0	0,1
2016-Jan-05 11:19:44	PI_7	19	2	0	642933	0	
2016-Jan-05 11:19:46	PI_7	20	2	2	1405754	0	0,1
2016-Jan-05 11:19:48	PI_7	21	2	0	642933	0	
2016-Jan-05 11:19:50	PI_7	22	2	0	642933	0	
2016-Jan-05 11:19:52	PI_7	23	2	2	1405754	0	0,1
2016-Jan-05 11:19:54	PI_7	24	2	0	642933	0	
2016-Jan-05 11:19:56	PI_7	25	2	0	642933	0	
2016-Jan-05 11:19:58	PI_7	26	2	0	642933	0	
2016-Jan-05 11:20:00	PI_7	27	2	0	642933	0	
2016-Jan-05 11:20:02	PI_7	28	2	2	1405754	0	0,1
2016-Jan-05 11:20:04	PI_7	29	2	0	642933	0	
2016-Jan-05 11:20:06	PI_7	30	2	1	997955	0	0
2016-Jan-05 11:20:08	PI_7	31	2	2	1405754	0	0,1
2016-Jan-05 11:20:10	PI_7	32	2	0	642933	0	
2016-Jan-05 11:20:12	PI_7	33	2	2	1405754	0	0,1
2016-Jan-05 11:20:14	PI_7	34	2	0	642933	0	
2016-Jan-05 11:20:16	PI_7	35	2	0	642933	0	
2016-Jan-05 11:20:18	PI_7	36	2	2	1405754	0	0,1
2016-Jan-05 11:20:20	PI_7	37	2	2	1405754	0	0,1
2016-Jan-05 11:20:22	PI_7	38	2	0	642933	0	
2016-Jan-05 11:20:24	PI_7	39	2	0	642933	0	
