Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:04	PI_13	0	2	0	642933	1000	
2016-Jan-05 11:19:06	PI_13	1	2	0	642933	0	
2016-Jan-05 11:19:08	PI_13	2	2	0	642933	0	
2016-Jan-05 11:19:10	PI_13	3	2	0	642933	0	
2016-Jan-05 11:19:12	PI_13	4	2	0	642933	0	
2016-Jan-05 11:19:14	PI_13	5	2	0	642933	0	
2016-Jan-05 11:19:16	PI_13	6	2	0	642933	0	
2016-Jan-05 11:19:18	PI_13	7	2	0	642933	0	
2016-Jan-05 11:19:20	PI_13	8	2	0	642933	0	
2016-Jan-05 11:19:22	PI_13	9	2	0	642933	0	
2016-Jan-05 11:19:24	PI_13	10	2	0	642933	0	
2016-Jan-05 11:19:26	PI_13	11	2	0	642933	0	
2016-Jan-05 11:19:28	PI_13	12	2	0	642933	0	
2016-Jan-05 11:19:30	PI_13	13	2	0	642933	0	
2016-Jan-05 11:19:32	PI_13	14	2	0	642933	0	
2016-Jan-05 11:19:34	PI_13	15	2	0	642933	0	
2016-Jan-05 11:19:36	PI_13	16	2	0	642933	0	
2016-Jan-05 11:19:38	PI_13	17	2	0	642933	0	
2016-Jan-05 11:19:40	PI_13	18	2	0	642933	0	
2016-Jan-05 11:19:42	PI_13	19	2	0	642933	0	
2016-Jan-05 11:19:44	PI_13	20	2	0	642933	0	
2016-Jan-05 11:19:46	PI_13	21	2	2	1405754	0	0,1
2016-Jan-05 11:19:48	PI_13	22	2	0	642933	0	
2016-Jan-05 11:19:50	PI_13	23	2	2	1405754	0	0,1
2016-Jan-05 11:19:52	PI_13	24	2	0	642933	0	
2016-Jan-05 11:19:54	PI_13	25	2	0	642933	0	
2016-Jan-05 11:19:56	PI_13	26	2	0	642933	0	
2016-Jan-05 11:19:58	PI_13	27	2	0	642933	0	
2016-Jan-05 11:20:00	PI_13	28	2	2	1405754	0	0,1
2016-Jan-05 11:20:02	PI_13	29	2	0	642933	0	
2016-Jan-05 11:20:04	PI_13	30	2	1	997955	0	0
2016-Jan-05 11:20:06	PI_13	31	2	1	997955	0	0
2016-Jan-05 11:20:08	PI_13	32	2	2	1405754	0	0,1
2016-Jan-05 11:20:10	PI_13	33	2	0	642933	0	
2016-Jan-05 11:20:12	PI_13	34	2	2	1405754	0	0,1
2016-Jan-05 11:20:14	PI_13	35	2	0	642933	0	
2016-Jan-05 11:20:16	PI_13	36	2	0	642933	0	
2016-Jan-05 11:20:18	PI_13	37	2	2	1405754	0	0,1
2016-Jan-05 11:20:20	PI_13	38	2	0	642933	0	
2016-Jan-05 11:20:22	PI_13	39	2	0	642933	0	
2016-Jan-05 11:20:24	PI_13	40	2	0	642933	0	
2016-Jan-05 11:20:26	PI_13	41	2	0	642933	0	
2016-Jan-05 11:20:28	PI_13	42	2	0	642933	0	
2016-Jan-05 11:20:30	PI_13	43	2	0	642933	0	
2016-Jan-05 11:20:32	PI_13	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:34	PI_13	45	2	0	642933	0	
2016-Jan-05 11:20:36	PI_13	46	2	2	1405754	0	0,1
2016-Jan-05 11:20:38	PI_13	47	2	0	642933	0	
2016-Jan-05 11:20:40	PI_13	48	2	1	997955	0	0
2016-Jan-05 11:20:42	PI_13	49	2	0	642933	0	
2016-Jan-05 11:20:44	PI_13	50	2	2	1405754	0	0,1
2016-Jan-05 11:20:46	PI_13	51	2	0	642933	0	
2016-Jan-05 11:20:48	PI_13	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:50	PI_13	53	2	0	642933	0	
2016-Jan-05 11:20:52	PI_13	54	2	0	642933	0	
2016-Jan-05 11:20:54	PI_13	55	2	2	1405754	0	0,1
2016-Jan-05 11:20:56	PI_13	56	2	0	642933	0	
2016-Jan-05 11:20:58	PI_13	57	2	0	642933	0	
2016-Jan-05 11:21:00	PI_13	58	2	0	642933	0	
2016-Jan-05 11:21:02	PI_13	59	2	2	1405754	0	0,1
2016-Jan-05 11:21:04	PI_13	60	2	0	642933	0	
2016-Jan-05 11:21:06	PI_13	61	2	0	642933	0	
2016-Jan-05 11:21:08	PI_13	62	2	0	642933	0	
2016-Jan-05 11:21:10	PI_13	63	2	0	642933	0	
2016-Jan-05 11:21:12	PI_13	64	2	0	642933	0	
2016-Jan-05 11:21:14	PI_13	65	2	0	642933	0	
2016-Jan-05 11:21:16	PI_13	66	2	2	1405754	0	0,1
2016-Jan-05 11:21:18	PI_13	67	2	0	642933	0	
2016-Jan-05 11:21:20	PI_13	68	2	2	1405754	0	0,1
2016-Jan-05 11:21:22	PI_13	69	2	0	642933	0	
2016-Jan-05 11:21:24	PI_13	70	2	0	642933	0	
2016-Jan-05 11:21:26	PI_13	71	2	2	1405754	0	0,1
2016-Jan-05 11:21:28	PI_13	72	2	0	642933	0	
2016-Jan-05 11:21:30	PI_13	73	2	0	642933	0	
2016-Jan-05 11:21:32	PI_13	74	2	0	642933	0	
2016-Jan-05 11:21:34	PI_13	75	2	2	1405754	0	0,1
2016-Jan-05 11:21:36	PI_13	76	2	0	642933	0	
2016-Jan-05 11:21:38	PI_13	77	2	0	642933	0	
2016-Jan-05 11:21:40	PI_13	78	2	0	642933	0	
2016-Jan-05 11:21:42	PI_13	79	2	0	642933	0	
2016-Jan-05 11:21:44	PI_13	80	2	1	997955	0	0
2016-Jan-05 11:21:46	PI_13	81	2	0	642933	0	
2016-Jan-05 11:21:48	PI_13	82	2	0	642933	0	
2016-Jan-05 11:21:50	PI_13	83	2	1	997955	0	0
2016-Jan-05 11:21:52	PI_13	84	2	1	997955	0	0
2016-Jan-05 11:21:54	PI_13	85	2	2	1405754	0	0,1
2016-Jan-05 11:21:56	PI_13	86	2	0	642933	0	
2016-Jan-05 11:21:58	PI_13	87	2	2	1405754	0	0,1
2016-Jan-05 11:22:00	PI_13	88	2	0	642933	0	
2016-Jan-05 11:22:02	PI_13	89	2	0	642933	0	
2016-Jan-05 11:22:04	PI_13	90	2	0	642933	0	
2016-Jan-05 11:22:06	PI_13	91	2	0	642933	0	
2016-Jan-05 11:22:08	PI_13	92	2	0	642933	0	
2016-Jan-05 11:22:10	PI_13	93	2	2	1405754	0	0,1
2016-Jan-05 11:22:12	PI_13	94	2	0	642933	0	
2016-Jan-05 11:22:14	PI_13	95	2	0	642933	0	
2016-Jan-05 11:22:16	PI_13	96	2	0	642933	0	
2016-Jan-05 11:22:18	PI_13	97	2	0	642933	0	
2016-Jan-05 11:22:20	PI_13	98	2	2	1405754	0	0,1
2016-Jan-05 11:22:22	PI_13	99	2	0	642933	0	
2016-Jan-05 11:22:24	PI_13	100	2	0	642933	0	
2016-Jan-05 11:22:26	PI_13	101	2	0	642933	0	
2016-Jan-05 11:22:28	PI_13	102	2	1	997955	0	0
2016-Jan-05 11:22:30	PI_13	103	2	1	997955	0	0
2016-Jan-05 11:22:32	PI_13	104	2	0	642933	0	
2016-Jan-05 11:22:34	PI_13	105	2	1	997955	0	0
2016-Jan-05 11:22:36	PI_13	106	2	0	642933	0	
