Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:03	PI_8	0	2	0	642933	1000	
2016-Jan-05 11:19:05	PI_8	1	2	0	642933	0	
2016-Jan-05 11:19:07	PI_8	2	2	0	642933	0	
2016-Jan-05 11:19:09	PI_8	3	2	0	642933	0	
2016-Jan-05 11:19:11	PI_8	4	2	0	642933	0	
2016-Jan-05 11:19:13	PI_8	5	2	0	642933	0	
2016-Jan-05 11:19:15	PI_8	6	2	0	642933	0	
2016-Jan-05 11:19:17	PI_8	7	2	0	642933	0	
2016-Jan-05 11:19:19	PI_8	8	2	0	642933	0	
2016-Jan-05 11:19:21	PI_8	9	2	0	642933	0	
2016-Jan-05 11:19:23	PI_8	10	2	0	642933	0	
2016-Jan-05 11:19:25	PI_8	11	2	0	642933	0	
2016-Jan-05 11:19:27	PI_8	12	2	0	642933	0	
2016-Jan-05 11:19:29	PI_8	13	2	0	642933	0	
2016-Jan-05 11:19:31	PI_8	14	2	0	642933	0	
2016-Jan-05 11:19:33	PI_8	15	2	0	642933	0	
2016-Jan-05 11:19:35	PI_8	16	2	0	642933	0	
2016-Jan-05 11:19:37	PI_8	17	2	0	642933	0	
2016-Jan-05 11:19:39	PI_8	18	2	0	642933	0	
2016-Jan-05 11:19:41	PI_8	19	2	0	642933	0	
2016-Jan-05 11:19:43	PI_8	20	2	0	642933	0	
2016-Jan-05 11:19:45	PI_8	21	2	0	642933	0	
2016-Jan-05 11:19:47	PI_8	22	2	0	642933	0	
2016-Jan-05 11:19:49	PI_8	23	2	1	997955	0	0
2016-Jan-05 11:19:51	PI_8	24	2	0	642933	0	
2016-Jan-05 11:19:53	PI_8	25	2	0	642933	0	
2016-Jan-05 11:19:55	PI_8	26	2	0	642933	0	
2016-Jan-05 11:19:57	PI_8	27	2	0	642933	0	
2016-Jan-05 11:19:59	PI_8	28	2	0	642933	0	
2016-Jan-05 11:20:01	PI_8	29	2	1	997955	0	0
2016-Jan-05 11:20:03	PI_8	30	2	0	642933	0	
2016-Jan-05 11:20:05	PI_8	31	2	1	997955	0	0
2016-Jan-05 11:20:07	PI_8	32	2	1	997955	0	0
2016-Jan-05 11:20:09	PI_8	33	2	1	997955	0	0
2016-Jan-05 11:20:11	PI_8	34	2	0	642933	0	
2016-Jan-05 11:20:13	PI_8	35	2	0	642933	0	
2016-Jan-05 11:20:15	PI_8	36	2	1	997955	0	0
2016-Jan-05 11:20:17	PI_8	37	2	0	642933	0	
2016-Jan-05 11:20:19	PI_8	38	2	0	642933	0	
2016-Jan-05 11:20:21	PI_8	39	2	0	642933	0	
2016-Jan-05 11:20:23	PI_8	40	2	0	642933	0	
2016-Jan-05 11:20:25	PI_8	41	2	0	642933	0	
2016-Jan-05 11:20:27	PI_8	42	2	0	642933	0	
