Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:27:50	PI_4	264	2	0	642933	0	
2016-Jan-05 11:27:52	PI_4	265	2	2	1405754	0	0,1
2016-Jan-05 11:27:54	PI_4	266	2	0	642933	0	
2016-Jan-05 11:27:56	PI_4	267	2	0	642933	0	
2016-Jan-05 11:27:58	PI_4	268	2	0	642933	0	
2016-Jan-05 11:28:00	PI_4	269	2	0	642933	0	
2016-Jan-05 11:28:02	PI_4	270	2	0	642933	0	
2016-Jan-05 11:28:04	PI_4	271	2	0	642933	0	
2016-Jan-05 11:28:06	PI_4	272	2	0	642933	0	
2016-Jan-05 11:28:08	PI_4	273	2	0	642933	0	
2016-Jan-05 11:28:10	PI_4	274	2	0	642933	0	
2016-Jan-05 11:28:12	PI_4	275	2	0	642933	0	
2016-Jan-05 11:28:14	PI_4	276	2	1	997955	0	0
2016-Jan-05 11:28:16	PI_4	277	2	0	642933	0	
2016-Jan-05 11:28:18	PI_4	278	2	0	642933	0	
2016-Jan-05 11:28:20	PI_4	279	2	0	642933	0	
2016-Jan-05 11:28:22	PI_4	280	2	0	642933	0	
2016-Jan-05 11:28:24	PI_4	281	2	0	642933	0	
2016-Jan-05 11:28:26	PI_4	282	2	0	642933	0	
2016-Jan-05 11:28:28	PI_4	283	2	2	1405754	0	0,1
2016-Jan-05 11:28:30	PI_4	284	2	0	642933	0	
2016-Jan-05 11:28:32	PI_4	285	2	2	1405754	0	0,1
2016-Jan-05 11:28:34	PI_4	286	2	2	1405754	0	0,1
2016-Jan-05 11:28:36	PI_4	287	2	2	1405754	0	0,1
2016-Jan-05 11:28:38	PI_4	288	2	1	997955	0	0
2016-Jan-05 11:28:40	PI_4	289	2	2	1405754	0	0,1
2016-Jan-05 11:28:42	PI_4	290	2	2	1405754	0	0,1
2016-Jan-05 11:28:44	PI_4	291	2	2	1405754	0	0,1
2016-Jan-05 11:28:46	PI_4	292	2	0	642933	0	
2016-Jan-05 11:28:48	PI_4	293	2	2	1405754	0	0,1
2016-Jan-05 11:28:50	PI_4	294	2	2	1405754	0	0,1
2016-Jan-05 11:28:52	PI_4	295	2	0	642933	0	
2016-Jan-05 11:28:54	PI_4	296	2	0	642933	0	
2016-Jan-05 11:28:56	PI_4	297	2	2	1405754	0	0,1
2016-Jan-05 11:28:58	PI_4	298	2	0	642933	0	
2016-Jan-05 11:29:00	PI_4	299	2	2	1405754	0	0,1
2016-Jan-05 11:29:02	PI_4	300	2	0	642933	0	
2016-Jan-05 11:29:04	PI_4	301	2	0	642933	0	
2016-Jan-05 11:29:06	PI_4	302	2	0	642933	0	
2016-Jan-05 11:29:08	PI_4	303	2	1	997955	0	0
2016-Jan-05 11:29:10	PI_4	304	2	1	997955	0	0
2016-Jan-05 11:29:12	PI_4	305	2	2	1405754	0	0,1
2016-Jan-05 11:29:14	PI_4	306	2	2	1405754	0	0,1
2016-Jan-05 11:29:16	PI_4	307	2	0	642933	0	
2016-Jan-05 11:29:18	PI_4	308	2	2	1405754	0	0,1
2016-Jan-05 11:29:20	PI_4	309	2	1	997955	0	0
2016-Jan-05 11:29:22	PI_4	310	2	2	1405754	0	0,1
2016-Jan-05 11:29:24	PI_4	311	2	1	997955	0	0
2016-Jan-05 11:29:26	PI_4	312	2	2	1405754	0	0,1
2016-Jan-05 11:29:28	PI_4	313	2	0	642933	0	
2016-Jan-05 11:29:30	PI_4	314	2	2	1405754	0	0,1
2016-Jan-05 11:29:32	PI_4	315	2	0	642933	0	
2016-Jan-05 11:29:34	PI_4	316	2	2	1405754	0	0,1
2016-Jan-05 11:29:36	PI_4	317	2	0	642933	0	
2016-Jan-05 11:29:38	PI_4	318	2	2	1405754	0	0,1
2016-Jan-05 11:29:40	PI_4	319	2	0	642933	0	
2016-Jan-05 11:29:42	PI_4	320	2	0	642933	0	
2016-Jan-05 11:29:44	PI_4	321	2	2	1405754	0	0,1
2016-Jan-05 11:29:46	PI_4	322	2	0	642933	0	
2016-Jan-05 11:29:48	PI_4	323	2	0	642933	0	
2016-Jan-05 11:29:50	PI_4	324	2	0	642933	0	
2016-Jan-05 11:29:52	PI_4	325	2	0	642933	0	
2016-Jan-05 11:29:54	PI_4	326	2	2	1405754	0	0,1
2016-Jan-05 11:29:56	PI_4	327	2	0	642933	0	
2016-Jan-05 11:29:58	PI_4	328	2	0	642933	0	
2016-Jan-05 11:30:00	PI_4	329	2	2	1405754	0	0,1
2016-Jan-05 11:30:02	PI_4	330	2	1	997955	0	0
2016-Jan-05 11:30:04	PI_4	331	2	1	997955	0	0
2016-Jan-05 11:30:06	PI_4	332	2	1	997955	0	0
2016-Jan-05 11:30:08	PI_4	333	2	1	997955	0	0
2016-Jan-05 11:30:10	PI_4	334	2	1	997955	0	0
2016-Jan-05 11:30:12	PI_4	335	2	2	1405754	0	0,1
2016-Jan-05 11:30:14	PI_4	336	2	2	1405754	0	0,1
2016-Jan-05 11:30:16	PI_4	337	2	0	642933	0	
2016-Jan-05 11:30:18	PI_4	338	2	2	1405754	0	0,1
2016-Jan-05 11:30:20	PI_4	339	2	0	642933	0	
