Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:06	PI_14	0	2	0	642933	1000	
2016-Jan-05 11:19:08	PI_14	1	2	0	642933	0	
2016-Jan-05 11:19:10	PI_14	2	2	0	642933	0	
2016-Jan-05 11:19:12	PI_14	3	2	0	642933	0	
2016-Jan-05 11:19:14	PI_14	4	2	0	642933	0	
2016-Jan-05 11:19:16	PI_14	5	2	0	642933	0	
2016-Jan-05 11:19:18	PI_14	6	2	0	642933	0	
2016-Jan-05 11:19:20	PI_14	7	2	0	642933	0	
2016-Jan-05 11:19:22	PI_14	8	2	0	642933	0	
2016-Jan-05 11:19:24	PI_14	9	2	0	642933	0	
2016-Jan-05 11:19:26	PI_14	10	2	0	642933	0	
2016-Jan-05 11:19:28	PI_14	11	2	0	642933	0	
2016-Jan-05 11:19:30	PI_14	12	2	0	642933	0	
2016-Jan-05 11:19:32	PI_14	13	2	0	642933	0	
2016-Jan-05 11:19:34	PI_14	14	2	0	642933	0	
2016-Jan-05 11:19:36	PI_14	15	2	2	1405754	0	0,1
2016-Jan-05 11:19:38	PI_14	16	2	0	642933	0	
2016-Jan-05 11:19:40	PI_14	17	2	0	642933	0	
2016-Jan-05 11:19:42	PI_14	18	2	2	1405754	0	0,1
2016-Jan-05 11:19:44	PI_14	19	2	0	642933	0	
2016-Jan-05 11:19:46	PI_14	20	2	2	1405754	0	0,1
2016-Jan-05 11:19:48	PI_14	21	2	0	642933	0	
2016-Jan-05 11:19:50	PI_14	22	2	2	1405754	0	0,1
2016-Jan-05 11:19:52	PI_14	23	2	0	642933	0	
2016-Jan-05 11:19:54	PI_14	24	2	2	1405754	0	0,1
2016-Jan-05 11:19:56	PI_14	25	2	0	642933	0	
2016-Jan-05 11:19:58	PI_14	26	2	0	642933	0	
2016-Jan-05 11:20:00	PI_14	27	2	2	1405754	0	0,1
2016-Jan-05 11:20:02	PI_14	28	2	0	642933	0	
2016-Jan-05 11:20:04	PI_14	29	2	0	642933	0	
2016-Jan-05 11:20:06	PI_14	30	2	2	1405754	0	0,1
2016-Jan-05 11:20:08	PI_14	31	2	2	1405754	0	0,1
2016-Jan-05 11:20:10	PI_14	32	2	0	642933	0	
2016-Jan-05 11:20:12	PI_14	33	2	2	1405754	0	0,1
2016-Jan-05 11:20:14	PI_14	34	2	0	642933	0	
2016-Jan-05 11:20:16	PI_14	35	2	2	1405754	0	0,1
2016-Jan-05 11:20:18	PI_14	36	2	0	642933	0	
2016-Jan-05 11:20:20	PI_14	37	2	2	1405754	0	0,1
2016-Jan-05 11:20:22	PI_14	38	2	0	642933	0	
2016-Jan-05 11:20:24	PI_14	39	2	0	642933	0	
2016-Jan-05 11:20:26	PI_14	40	2	0	642933	0	
2016-Jan-05 11:20:28	PI_14	41	2	0	642933	0	
2016-Jan-05 11:20:30	PI_14	42	2	2	1405754	0	0,1
2016-Jan-05 11:20:32	PI_14	43	2	2	1405754	0	0,1
2016-Jan-05 11:20:34	PI_14	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:36	PI_14	45	2	0	642933	0	
2016-Jan-05 11:20:38	PI_14	46	2	2	1405754	0	0,1
2016-Jan-05 11:20:40	PI_14	47	2	2	1405754	0	0,1
2016-Jan-05 11:20:42	PI_14	48	2	2	1405754	0	0,1
2016-Jan-05 11:20:44	PI_14	49	2	0	642933	0	
2016-Jan-05 11:20:46	PI_14	50	2	2	1405754	0	0,1
2016-Jan-05 11:20:48	PI_14	51	2	0	642933	0	
2016-Jan-05 11:20:50	PI_14	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:52	PI_14	53	2	0	642933	0	
2016-Jan-05 11:20:54	PI_14	54	2	2	1405754	0	0,1
2016-Jan-05 11:20:56	PI_14	55	2	2	1405754	0	0,1
2016-Jan-05 11:20:58	PI_14	56	2	0	642933	0	
2016-Jan-05 11:21:00	PI_14	57	2	0	642933	0	
2016-Jan-05 11:21:02	PI_14	58	2	2	1405754	0	0,1
2016-Jan-05 11:21:04	PI_14	59	2	0	642933	0	
2016-Jan-05 11:21:06	PI_14	60	2	0	642933	0	
2016-Jan-05 11:21:08	PI_14	61	2	2	1405754	0	0,1
2016-Jan-05 11:21:10	PI_14	62	2	0	642933	0	
2016-Jan-05 11:21:12	PI_14	63	2	2	1405754	0	0,1
2016-Jan-05 11:21:14	PI_14	64	2	0	642933	0	
2016-Jan-05 11:21:16	PI_14	65	2	2	1405754	0	0,1
2016-Jan-05 11:21:18	PI_14	66	2	0	642933	0	
2016-Jan-05 11:21:20	PI_14	67	2	2	1405754	0	0,1
2016-Jan-05 11:21:22	PI_14	68	2	0	642933	0	
2016-Jan-05 11:21:24	PI_14	69	2	2	1405754	0	0,1
2016-Jan-05 11:21:26	PI_14	70	2	0	642933	0	
2016-Jan-05 11:21:28	PI_14	71	2	2	1405754	0	0,1
2016-Jan-05 11:21:30	PI_14	72	2	0	642933	0	
2016-Jan-05 11:21:32	PI_14	73	2	0	642933	0	
2016-Jan-05 11:21:34	PI_14	74	2	2	1405754	0	0,1
2016-Jan-05 11:21:36	PI_14	75	2	0	642933	0	
2016-Jan-05 11:21:38	PI_14	76	2	2	1405754	0	0,1
2016-Jan-05 11:21:40	PI_14	77	2	0	642933	0	
2016-Jan-05 11:21:42	PI_14	78	2	0	642933	0	
2016-Jan-05 11:21:44	PI_14	79	2	2	1405754	0	0,1
2016-Jan-05 11:21:46	PI_14	80	2	2	1405754	0	0,1
2016-Jan-05 11:21:48	PI_14	81	2	0	642933	0	
2016-Jan-05 11:21:50	PI_14	82	2	2	1405754	0	0,1
2016-Jan-05 11:21:52	PI_14	83	2	0	642933	0	
2016-Jan-05 11:21:54	PI_14	84	2	2	1405754	0	0,1
2016-Jan-05 11:21:56	PI_14	85	2	0	642933	0	
2016-Jan-05 11:21:58	PI_14	86	2	2	1405754	0	0,1
2016-Jan-05 11:22:00	PI_14	87	2	0	642933	0	
2016-Jan-05 11:22:02	PI_14	88	2	2	1405754	0	0,1
2016-Jan-05 11:22:04	PI_14	89	2	0	642933	0	
2016-Jan-05 11:22:06	PI_14	90	2	0	642933	0	
2016-Jan-05 11:22:08	PI_14	91	2	0	642933	0	
2016-Jan-05 11:22:10	PI_14	92	2	2	1405754	0	0,1
2016-Jan-05 11:22:12	PI_14	93	2	0	642933	0	
2016-Jan-05 11:22:14	PI_14	94	2	0	642933	0	
2016-Jan-05 11:22:16	PI_14	95	2	0	642933	0	
2016-Jan-05 11:22:18	PI_14	96	2	2	1405754	0	0,1
2016-Jan-05 11:22:20	PI_14	97	2	0	642933	0	
2016-Jan-05 11:22:22	PI_14	98	2	0	642933	0	
2016-Jan-05 11:22:24	PI_14	99	2	2	1405754	0	0,1
2016-Jan-05 11:22:26	PI_14	100	2	2	1405754	0	0,1
2016-Jan-05 11:22:28	PI_14	101	2	0	642933	0	
2016-Jan-05 11:22:30	PI_14	102	2	2	1405754	0	0,1
2016-Jan-05 11:22:32	PI_14	103	2	2	1405754	0	0,1
2016-Jan-05 11:22:34	PI_14	104	2	0	642933	0	
2016-Jan-05 11:22:36	PI_14	105	2	0	642933	0	
2016-Jan-05 11:22:38	PI_14	106	2	0	642933	0	
2016-Jan-05 11:22:40	PI_14	107	2	0	642933	0	
2016-Jan-05 11:22:42	PI_14	108	2	2	1405754	0	0,1
2016-Jan-05 11:22:44	PI_14	109	2	2	1405754	0	0,1
2016-Jan-05 11:22:46	PI_14	110	2	0	642933	0	
2016-Jan-05 11:22:48	PI_14	111	2	2	1405754	0	0,1
2016-Jan-05 11:22:50	PI_14	112	2	0	642933	0	
2016-Jan-05 11:22:52	PI_14	113	2	2	1405754	0	0,1
2016-Jan-05 11:22:54	PI_14	114	2	0	642933	0	
2016-Jan-05 11:22:56	PI_14	115	2	2	1405754	0	0,1
2016-Jan-05 11:22:58	PI_14	116	2	2	1405754	0	0,1
2016-Jan-05 11:23:00	PI_14	117	2	0	642933	0	
2016-Jan-05 11:23:02	PI_14	118	2	2	1405754	0	0,1
2016-Jan-05 11:23:04	PI_14	119	2	2	1405754	0	0,1
2016-Jan-05 11:23:06	PI_14	120	2	0	642933	0	
2016-Jan-05 11:23:08	PI_14	121	2	2	1405754	0	0,1
2016-Jan-05 11:23:10	PI_14	122	2	0	642933	0	
2016-Jan-05 11:23:12	PI_14	123	2	0	642933	0	
2016-Jan-05 11:23:14	PI_14	124	2	0	642933	0	
2016-Jan-05 11:23:16	PI_14	125	2	0	642933	0	
2016-Jan-05 11:23:18	PI_14	126	2	0	642933	0	
2016-Jan-05 11:23:20	PI_14	127	2	0	642933	0	
2016-Jan-05 11:23:22	PI_14	128	2	2	1405754	0	0,1
2016-Jan-05 11:23:24	PI_14	129	2	2	1405754	0	0,1
2016-Jan-05 11:23:26	PI_14	130	2	0	642933	0	
2016-Jan-05 11:23:28	PI_14	131	2	0	642933	0	
2016-Jan-05 11:23:30	PI_14	132	2	2	1405754	0	0,1
2016-Jan-05 11:23:32	PI_14	133	2	2	1405754	0	0,1
2016-Jan-05 11:23:34	PI_14	134	2	0	642933	0	
2016-Jan-05 11:23:36	PI_14	135	2	2	1405754	0	0,1
2016-Jan-05 11:23:38	PI_14	136	2	0	642933	0	
2016-Jan-05 11:23:40	PI_14	137	2	0	642933	0	
2016-Jan-05 11:23:42	PI_14	138	2	0	642933	0	
2016-Jan-05 11:23:44	PI_14	139	2	2	1405754	0	0,1
2016-Jan-05 11:23:46	PI_14	140	2	0	642933	0	
2016-Jan-05 11:23:48	PI_14	141	2	0	642933	0	
2016-Jan-05 11:23:50	PI_14	142	2	2	1405754	0	0,1
2016-Jan-05 11:23:52	PI_14	143	2	0	642933	0	
2016-Jan-05 11:23:54	PI_14	144	2	2	1405754	0	0,1
2016-Jan-05 11:23:56	PI_14	145	2	2	1405754	0	0,1
2016-Jan-05 11:23:58	PI_14	146	2	2	1405754	0	0,1
2016-Jan-05 11:24:00	PI_14	147	2	0	642933	0	
2016-Jan-05 11:24:02	PI_14	148	2	0	642933	0	
2016-Jan-05 11:24:04	PI_14	149	2	2	1405754	0	0,1
2016-Jan-05 11:24:06	PI_14	150	2	2	1405754	0	0,1
2016-Jan-05 11:24:08	PI_14	151	2	0	642933	0	
2016-Jan-05 11:24:10	PI_14	152	2	0	642933	0	
2016-Jan-05 11:24:12	PI_14	153	2	2	1405754	0	0,1
2016-Jan-05 11:24:14	PI_14	154	2	0	642933	0	
2016-Jan-05 11:24:16	PI_14	155	2	2	1405754	0	0,1
2016-Jan-05 11:24:18	PI_14	156	2	0	642933	0	
