Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:01	PI_1	0	2	0	642933	1000	
2016-Jan-05 11:19:03	PI_1	1	2	0	642933	0	
2016-Jan-05 11:19:05	PI_1	2	2	0	642933	0	
2016-Jan-05 11:19:07	PI_1	3	2	0	642933	0	
2016-Jan-05 11:19:09	PI_1	4	2	0	642933	0	
2016-Jan-05 11:19:11	PI_1	5	2	0	642933	0	
2016-Jan-05 11:19:13	PI_1	6	2	0	642933	0	
2016-Jan-05 11:19:15	PI_1	7	2	0	642933	0	
2016-Jan-05 11:19:17	PI_1	8	2	0	642933	0	
2016-Jan-05 11:19:19	PI_1	9	2	0	642933	0	
2016-Jan-05 11:19:21	PI_1	10	2	0	642933	0	
2016-Jan-05 11:19:23	PI_1	11	2	0	642933	0	
2016-Jan-05 11:19:25	PI_1	12	2	0	642933	0	
2016-Jan-05 11:19:27	PI_1	13	2	0	642933	0	
2016-Jan-05 11:19:29	PI_1	14	2	0	642933	0	
2016-Jan-05 11:19:31	PI_1	15	2	0	642933	0	
2016-Jan-05 11:19:33	PI_1	16	2	2	1405754	0	0,1
2016-Jan-05 11:19:35	PI_1	17	2	0	642933	0	
2016-Jan-05 11:19:37	PI_1	18	2	0	642933	0	
2016-Jan-05 11:19:39	PI_1	19	2	2	1405754	0	0,1
2016-Jan-05 11:19:41	PI_1	20	2	0	642933	0	
2016-Jan-05 11:19:43	PI_1	21	2	2	1405754	0	0,1
2016-Jan-05 11:19:45	PI_1	22	2	0	642933	0	
2016-Jan-05 11:19:47	PI_1	23	2	2	1405754	0	0,1
2016-Jan-05 11:19:49	PI_1	24	2	0	642933	0	
2016-Jan-05 11:19:51	PI_1	25	2	0	642933	0	
2016-Jan-05 11:19:53	PI_1	26	2	2	1405754	0	0,1
2016-Jan-05 11:19:55	PI_1	27	2	0	642933	0	
2016-Jan-05 11:19:57	PI_1	28	2	0	642933	0	
2016-Jan-05 11:19:59	PI_1	29	2	2	1405754	0	0,1
2016-Jan-05 11:20:01	PI_1	30	2	2	1405754	0	0,1
2016-Jan-05 11:20:03	PI_1	31	2	0	642933	0	
2016-Jan-05 11:20:05	PI_1	32	2	2	1405754	0	0,1
2016-Jan-05 11:20:07	PI_1	33	2	0	642933	0	
