Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:06	PI_15	0	2	0	642933	2000	
2016-Jan-05 11:19:08	PI_15	1	2	0	642933	0	
2016-Jan-05 11:19:10	PI_15	2	2	0	642933	0	
2016-Jan-05 11:19:12	PI_15	3	2	0	642933	0	
2016-Jan-05 11:19:14	PI_15	4	2	0	642933	0	
2016-Jan-05 11:19:16	PI_15	5	2	0	642933	0	
2016-Jan-05 11:19:18	PI_15	6	2	0	642933	0	
2016-Jan-05 11:19:20	PI_15	7	2	0	642933	0	
2016-Jan-05 11:19:22	PI_15	8	2	0	642933	0	
2016-Jan-05 11:19:24	PI_15	9	2	0	642933	0	
2016-Jan-05 11:19:26	PI_15	10	2	0	642933	0	
2016-Jan-05 11:19:28	PI_15	11	2	0	642933	0	
2016-Jan-05 11:19:30	PI_15	12	2	0	642933	0	
2016-Jan-05 11:19:32	PI_15	13	2	0	642933	0	
2016-Jan-05 11:19:34	PI_15	14	2	0	642933	0	
2016-Jan-05 11:19:36	PI_15	15	2	0	642933	0	
2016-Jan-05 11:19:38	PI_15	16	2	0	642933	0	
2016-Jan-05 11:19:40	PI_15	17	2	0	642933	0	
2016-Jan-05 11:19:42	PI_15	18	2	2	1405754	0	0,1
2016-Jan-05 11:19:44	PI_15	19	2	0	642933	0	
2016-Jan-05 11:19:46	PI_15	20	2	0	642933	0	
2016-Jan-05 11:19:48	PI_15	21	2	2	1405754	0	0,1
2016-Jan-05 11:19:50	PI_15	22	2	2	1405754	0	0,1
2016-Jan-05 11:19:52	PI_15	23	2	0	642933	0	
2016-Jan-05 11:19:54	PI_15	24	2	0	642933	0	
2016-Jan-05 11:19:56	PI_15	25	2	2	1405754	0	0,1
2016-Jan-05 11:19:58	PI_15	26	2	0	642933	0	
2016-Jan-05 11:20:00	PI_15	27	2	0	642933	0	
2016-Jan-05 11:20:02	PI_15	28	2	0	642933	0	
2016-Jan-05 11:20:04	PI_15	29	2	2	1405754	0	0,1
2016-Jan-05 11:20:06	PI_15	30	2	2	1405754	0	0,1
2016-Jan-05 11:20:08	PI_15	31	2	2	1405754	0	0,1
2016-Jan-05 11:20:10	PI_15	32	2	0	642933	0	
2016-Jan-05 11:20:12	PI_15	33	2	2	1405754	0	0,1
2016-Jan-05 11:20:14	PI_15	34	2	0	642933	0	
2016-Jan-05 11:20:16	PI_15	35	2	0	642933	0	
2016-Jan-05 11:20:18	PI_15	36	2	2	1405754	0	0,1
2016-Jan-05 11:20:20	PI_15	37	2	0	642933	0	
2016-Jan-05 11:20:22	PI_15	38	2	0	642933	0	
2016-Jan-05 11:20:24	PI_15	39	2	0	642933	0	
2016-Jan-05 11:20:26	PI_15	40	2	0	642933	0	
2016-Jan-05 11:20:28	PI_15	41	2	2	1405754	0	0,1
2016-Jan-05 11:20:30	PI_15	42	2	0	642933	0	
2016-Jan-05 11:20:32	PI_15	43	2	2	1405754	0	0,1
2016-Jan-05 11:20:34	PI_15	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:36	PI_15	45	2	2	1405754	0	0,1
2016-Jan-05 11:20:38	PI_15	46	2	0	642933	0	
2016-Jan-05 11:20:40	PI_15	47	2	2	1405754	0	0,1
2016-Jan-05 11:20:42	PI_15	48	2	2	1405754	0	0,1
2016-Jan-05 11:20:44	PI_15	49	2	0	642933	0	
2016-Jan-05 11:20:46	PI_15	50	2	2	1405754	0	0,1
2016-Jan-05 11:20:48	PI_15	51	2	0	642933	0	
2016-Jan-05 11:20:50	PI_15	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:52	PI_15	53	2	0	642933	0	
2016-Jan-05 11:20:54	PI_15	54	2	2	1405754	0	0,1
2016-Jan-05 11:20:56	PI_15	55	2	0	642933	0	
2016-Jan-05 11:20:58	PI_15	56	2	0	642933	0	
2016-Jan-05 11:21:00	PI_15	57	2	2	1405754	0	0,1
2016-Jan-05 11:21:02	PI_15	58	2	0	642933	0	
2016-Jan-05 11:21:04	PI_15	59	2	0	642933	0	
2016-Jan-05 11:21:06	PI_15	60	2	0	642933	0	
2016-Jan-05 11:21:08	PI_15	61	2	0	642933	0	
2016-Jan-05 11:21:10	PI_15	62	2	0	642933	0	
2016-Jan-05 11:21:12	PI_15	63	2	2	1405754	0	0,1
2016-Jan-05 11:21:14	PI_15	64	2	0	642933	0	
2016-Jan-05 11:21:16	PI_15	65	2	2	1405754	0	0,1
2016-Jan-05 11:21:18	PI_15	66	2	0	642933	0	
2016-Jan-05 11:21:20	PI_15	67	2	0	642933	0	
2016-Jan-05 11:21:22	PI_15	68	2	2	1405754	0	0,1
2016-Jan-05 11:21:24	PI_15	69	2	0	642933	0	
2016-Jan-05 11:21:26	PI_15	70	2	0	642933	0	
2016-Jan-05 11:21:28	PI_15	71	2	2	1405754	0	0,1
2016-Jan-05 11:21:30	PI_15	72	2	0	642933	0	
2016-Jan-05 11:21:32	PI_15	73	2	0	642933	0	
2016-Jan-05 11:21:34	PI_15	74	2	0	642933	0	
2016-Jan-05 11:21:36	PI_15	75	2	2	1405754	0	0,1
2016-Jan-05 11:21:38	PI_15	76	2	0	642933	0	
2016-Jan-05 11:21:40	PI_15	77	2	0	642933	0	
2016-Jan-05 11:21:42	PI_15	78	2	0	642933	0	
2016-Jan-05 11:21:44	PI_15	79	2	2	1405754	0	0,1
2016-Jan-05 11:21:46	PI_15	80	2	2	1405754	0	0,1
2016-Jan-05 11:21:48	PI_15	81	2	0	642933	0	
2016-Jan-05 11:21:50	PI_15	82	2	0	642933	0	
2016-Jan-05 11:21:52	PI_15	83	2	0	642933	0	
2016-Jan-05 11:21:54	PI_15	84	2	2	1405754	0	0,1
2016-Jan-05 11:21:56	PI_15	85	2	0	642933	0	
2016-Jan-05 11:21:58	PI_15	86	2	2	1405754	0	0,1
2016-Jan-05 11:22:00	PI_15	87	2	2	1405754	0	0,1
2016-Jan-05 11:22:02	PI_15	88	2	0	642933	0	
2016-Jan-05 11:22:04	PI_15	89	2	0	642933	0	
2016-Jan-05 11:22:06	PI_15	90	2	2	1405754	0	0,1
2016-Jan-05 11:22:08	PI_15	91	2	0	642933	0	
2016-Jan-05 11:22:10	PI_15	92	2	0	642933	0	
2016-Jan-05 11:22:12	PI_15	93	2	0	642933	0	
2016-Jan-05 11:22:14	PI_15	94	2	0	642933	0	
2016-Jan-05 11:22:16	PI_15	95	2	2	1405754	0	0,1
2016-Jan-05 11:22:18	PI_15	96	2	1	997955	0	0
2016-Jan-05 11:22:20	PI_15	97	2	0	642933	0	
2016-Jan-05 11:22:22	PI_15	98	2	0	642933	0	
2016-Jan-05 11:22:24	PI_15	99	2	2	1405754	0	0,1
2016-Jan-05 11:22:26	PI_15	100	2	2	1405754	0	0,1
2016-Jan-05 11:22:28	PI_15	101	2	0	642933	0	
2016-Jan-05 11:22:30	PI_15	102	2	2	1405754	0	0,1
2016-Jan-05 11:22:32	PI_15	103	2	0	642933	0	
2016-Jan-05 11:22:34	PI_15	104	2	0	642933	0	
2016-Jan-05 11:22:36	PI_15	105	2	0	642933	0	
2016-Jan-05 11:22:38	PI_15	106	2	0	642933	0	
2016-Jan-05 11:22:40	PI_15	107	2	0	642933	0	
2016-Jan-05 11:22:42	PI_15	108	2	0	642933	0	
2016-Jan-05 11:22:44	PI_15	109	2	2	1405754	0	0,1
2016-Jan-05 11:22:46	PI_15	110	2	0	642933	0	
2016-Jan-05 11:22:48	PI_15	111	2	0	642933	0	
2016-Jan-05 11:22:50	PI_15	112	2	2	1405754	0	0,1
2016-Jan-05 11:22:52	PI_15	113	2	0	642933	0	
