Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:04	PI_11	0	2	0	642933	1000	
2016-Jan-05 11:19:06	PI_11	1	2	0	642933	0	
2016-Jan-05 11:19:08	PI_11	2	2	0	642933	0	
2016-Jan-05 11:19:10	PI_11	3	2	0	642933	0	
2016-Jan-05 11:19:12	PI_11	4	2	0	642933	0	
2016-Jan-05 11:19:14	PI_11	5	2	0	642933	0	
2016-Jan-05 11:19:16	PI_11	6	2	0	642933	0	
2016-Jan-05 11:19:18	PI_11	7	2	0	642933	0	
2016-Jan-05 11:19:20	PI_11	8	2	0	642933	0	
2016-Jan-05 11:19:22	PI_11	9	2	0	642933	0	
2016-Jan-05 11:19:24	PI_11	10	2	0	642933	0	
2016-Jan-05 11:19:26	PI_11	11	2	0	642933	0	
2016-Jan-05 11:19:28	PI_11	12	2	0	642933	0	
2016-Jan-05 11:19:30	PI_11	13	2	0	642933	0	
2016-Jan-05 11:19:32	PI_11	14	2	0	642933	0	
2016-Jan-05 11:19:34	PI_11	15	2	0	642933	0	
2016-Jan-05 11:19:36	PI_11	16	2	0	642933	0	
2016-Jan-05 11:19:38	PI_11	17	2	0	642933	0	
2016-Jan-05 11:19:40	PI_11	18	2	2	1405754	0	0,1
2016-Jan-05 11:19:42	PI_11	19	2	0	642933	0	
2016-Jan-05 11:19:44	PI_11	20	2	2	1405754	0	0,1
2016-Jan-05 11:19:46	PI_11	21	2	0	642933	0	
2016-Jan-05 11:19:48	PI_11	22	2	2	1405754	0	0,1
2016-Jan-05 11:19:50	PI_11	23	2	0	642933	0	
2016-Jan-05 11:19:52	PI_11	24	2	0	642933	0	
2016-Jan-05 11:19:54	PI_11	25	2	0	642933	0	
2016-Jan-05 11:19:56	PI_11	26	2	2	1405754	0	0,1
2016-Jan-05 11:19:58	PI_11	27	2	0	642933	0	
2016-Jan-05 11:20:00	PI_11	28	2	0	642933	0	
2016-Jan-05 11:20:02	PI_11	29	2	2	1405754	0	0,1
2016-Jan-05 11:20:04	PI_11	30	2	1	997955	0	0
2016-Jan-05 11:20:06	PI_11	31	2	2	1405754	0	0,1
2016-Jan-05 11:20:08	PI_11	32	2	0	642933	0	
2016-Jan-05 11:20:10	PI_11	33	2	2	1405754	0	0,1
2016-Jan-05 11:20:12	PI_11	34	2	0	642933	0	
2016-Jan-05 11:20:14	PI_11	35	2	0	642933	0	
2016-Jan-05 11:20:16	PI_11	36	2	2	1405754	0	0,1
2016-Jan-05 11:20:18	PI_11	37	2	1	997955	0	0
2016-Jan-05 11:20:20	PI_11	38	2	0	642933	0	
2016-Jan-05 11:20:22	PI_11	39	2	0	642933	0	
2016-Jan-05 11:20:24	PI_11	40	2	0	642933	0	
2016-Jan-05 11:20:26	PI_11	41	2	0	642933	0	
2016-Jan-05 11:20:28	PI_11	42	2	2	1405754	0	0,1
2016-Jan-05 11:20:30	PI_11	43	2	1	997955	0	0
2016-Jan-05 11:20:32	PI_11	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:34	PI_11	45	2	0	642933	0	
2016-Jan-05 11:20:36	PI_11	46	2	1	997955	0	0
2016-Jan-05 11:20:38	PI_11	47	2	1	997955	0	0
2016-Jan-05 11:20:40	PI_11	48	2	2	1405754	0	0,1
2016-Jan-05 11:20:42	PI_11	49	2	2	1405754	0	0,1
2016-Jan-05 11:20:44	PI_11	50	2	0	642933	0	
2016-Jan-05 11:20:46	PI_11	51	2	0	642933	0	
2016-Jan-05 11:20:48	PI_11	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:50	PI_11	53	2	0	642933	0	
2016-Jan-05 11:20:52	PI_11	54	2	2	1405754	0	0,1
2016-Jan-05 11:20:54	PI_11	55	2	0	642933	0	
2016-Jan-05 11:20:56	PI_11	56	2	2	1405754	0	0,1
2016-Jan-05 11:20:58	PI_11	57	2	0	642933	0	
2016-Jan-05 11:21:00	PI_11	58	2	0	642933	0	
2016-Jan-05 11:21:02	PI_11	59	2	0	642933	0	
2016-Jan-05 11:21:04	PI_11	60	2	0	642933	0	
2016-Jan-05 11:21:06	PI_11	61	2	0	642933	0	
2016-Jan-05 11:21:08	PI_11	62	2	2	1405754	0	0,1
2016-Jan-05 11:21:10	PI_11	63	2	0	642933	0	
2016-Jan-05 11:21:12	PI_11	64	2	2	1405754	0	0,1
2016-Jan-05 11:21:14	PI_11	65	2	0	642933	0	
2016-Jan-05 11:21:16	PI_11	66	2	2	1405754	0	0,1
2016-Jan-05 11:21:18	PI_11	67	2	0	642933	0	
2016-Jan-05 11:21:20	PI_11	68	2	0	642933	0	
